[dotenv@17.2.3] injecting env (0) from .env -- tip: ≡ƒöÉ encrypt with Dotenvx: https://dotenvx.com
≡ƒöä Recalculating all Parent Stock...
Found 126 parents. Updating...
[StockUpdate] Found 2 variants for parent e44aaaa2-fc41-4eea-8592-f9c23d1859a4 with total stock 2
[StockUpdate] Found 2 variants for parent 65a29117-c52f-4af3-bcb6-cff9ed1e2d3a with total stock 2
[StockUpdate] Found 1 variants for parent 661336e0-fb69-43bd-90ca-46f9a1f487d1 with total stock 1
[StockUpdate] Found 5 variants for parent f0f82f10-eccb-442f-b575-a5778a5561fe with total stock 54
[StockUpdate] Found 1 variants for parent b68e241e-8b29-4563-ae9b-6ea3cdc77f69 with total stock 1
[StockUpdate] Found 1 variants for parent 2660dc1a-51b1-4613-9db7-bb23adf57c80 with total stock 1
[StockUpdate] Found 1 variants for parent a3b973de-414f-4a5c-8553-9ba65298c536 with total stock 1
[StockUpdate] Found 1 variants for parent 0ccd50ed-8e64-4116-98d9-1102d65a32ec with total stock 1
[StockUpdate] Found 1 variants for parent e942ac5e-1a2b-43ba-931b-3445c9140a59 with total stock 2
[StockUpdate] Found 1 variants for parent cae4eabf-e239-4ced-ac6d-141cb46dad07 with total stock 1
[StockUpdate] Found 1 variants for parent 1070535a-670f-49cf-8ef1-8f03c180f39e with total stock 1
[StockUpdate] Found 1 variants for parent d148961d-2aec-4fb8-93bb-954fdcde5440 with total stock 1
[StockUpdate] Found 2 variants for parent 3980ac3a-f5bd-49a2-a77d-3916d7fd7086 with total stock 2
[StockUpdate] Found 1 variants for parent a6bfb21d-8da3-41a1-b217-3b8765eabbf8 with total stock 1
[StockUpdate] Found 1 variants for parent 8d2be76a-ad82-45f8-8e6a-85e433919b59 with total stock 1
[StockUpdate] Found 1 variants for parent 34b8d54b-92f4-404b-966b-9047fdb924ea with total stock 1
[StockUpdate] Found 1 variants for parent 9b30ce23-642e-4fe7-921b-6d1a5e0dfc18 with total stock 1
[StockUpdate] Found 1 variants for parent 4c3bfd88-af4d-4c48-bfa8-26623beb6bcb with total stock 1
[StockUpdate] Found 2 variants for parent acd298c7-9fbb-476a-b6dd-3c1559024413 with total stock 2
[StockUpdate] Found 1 variants for parent f33342b2-93a6-4514-9ca4-f18a111a42ad with total stock 1
[StockUpdate] Found 1 variants for parent 8f4662d5-7c15-47bd-919a-e38edfbde8e1 with total stock 1
[StockUpdate] Found 1 variants for parent e5ba9338-582e-4e40-bfc4-4f0018507c7e with total stock 1
[StockUpdate] Found 1 variants for parent e4a580f8-f0ab-4c65-a70a-15c8e5ac1e70 with total stock 77
[StockUpdate] Found 1 variants for parent cde6b3a3-b799-45ff-bb94-e27acf489634 with total stock 3
[StockUpdate] Found 1 variants for parent 4dfb1196-1ca4-4e83-a164-f66ba80899ad with total stock 1
[StockUpdate] Found 1 variants for parent 45ba8aa3-77ad-4358-9daf-fa03d7719922 with total stock 2
[StockUpdate] Found 2 variants for parent 24f36096-a7bf-46a3-95ed-43fea47a5862 with total stock 3
[StockUpdate] Found 2 variants for parent dfa62e97-fea5-461b-af02-fbb79dd82a12 with total stock 2
[StockUpdate] Found 1 variants for parent dc3bc06a-96d1-4de7-8ad3-2e98851d5096 with total stock 2
[StockUpdate] Found 2 variants for parent eb7b9955-e500-47fd-8328-6aeed2931808 with total stock 3
[StockUpdate] Found 1 variants for parent 505d979a-d0a6-480e-81d6-63cae84d33c3 with total stock 2
[StockUpdate] Found 4 variants for parent 8346c611-1ebb-40e9-8521-add439e01300 with total stock 7
[StockUpdate] Found 1 variants for parent d8da91f0-8cb0-4877-a6dd-1ff3bcced030 with total stock 2
[StockUpdate] Found 3 variants for parent b4b737f1-e078-4d16-b980-dfebe00f5891 with total stock 30
[StockUpdate] Found 2 variants for parent 21243073-c55c-40ce-b428-efec875f4a3a with total stock 5
[StockUpdate] Found 2 variants for parent 7a3de182-7190-46cd-bc2b-e4f7afd14417 with total stock 10
[StockUpdate] Found 1 variants for parent 77210041-75bd-4ab5-972b-01443985b31b with total stock 5
[StockUpdate] Found 1 variants for parent 932c3bc9-69d3-4542-9025-e6c347192c05 with total stock 1
[StockUpdate] Found 1 variants for parent 856d6443-218a-414a-9750-151007f9f086 with total stock 2
[StockUpdate] Found 1 variants for parent 075fc362-cec1-47dd-bc73-7811c9fc1cc3 with total stock 2
[StockUpdate] Found 1 variants for parent 4365a31f-af0b-4ee4-84d5-c54f36e77ca7 with total stock 2
[StockUpdate] Found 2 variants for parent 477956bd-006f-4d69-bb0a-a1133258cee0 with total stock 4
[StockUpdate] Found 1 variants for parent b84d6ded-a152-46ac-ad2f-2ddf6d9465b6 with total stock 2
[StockUpdate] Found 1 variants for parent c0f397f7-5a46-4660-a8aa-b0acd21f1758 with total stock 3
[StockUpdate] Found 1 variants for parent 52c17d50-7258-4df1-962a-762fa1959ac6 with total stock 5
[StockUpdate] Found 1 variants for parent 0af59d1c-1589-4151-97e7-b5fee0952fb9 with total stock 4
[StockUpdate] Found 1 variants for parent bd863409-74b7-4036-800d-dcdcd4687f81 with total stock 2
[StockUpdate] Found 2 variants for parent 1f82faac-e946-48df-ab26-42baad6a6f46 with total stock 3
[StockUpdate] Found 1 variants for parent 8d470a6b-dc55-4731-b975-4a547ef74ae4 with total stock 2
[StockUpdate] Found 1 variants for parent fe796701-7507-437e-b93d-56346cfeb7ca with total stock 1
[StockUpdate] Found 1 variants for parent 9fea1fc3-28bf-4444-bd3e-2e9e8e59b170 with total stock 1
[StockUpdate] Found 1 variants for parent 623b0665-480a-4e43-8fc0-84ed5718a2e4 with total stock 1
[StockUpdate] Found 1 variants for parent 8f583f52-5749-420e-84af-d02642180abf with total stock 1
[StockUpdate] Found 2 variants for parent dae53002-c664-4017-95e2-9c0a29b484e3 with total stock 4
[StockUpdate] Found 1 variants for parent f8051a6c-32ca-42cd-889f-737d5c872b52 with total stock 1
[StockUpdate] Found 1 variants for parent 29c1f4cc-b703-4123-be76-97eb344f6ed9 with total stock 1
[StockUpdate] Found 1 variants for parent 2c569801-9c8b-498e-8a45-7f69fce3a8cd with total stock 1
[StockUpdate] Found 1 variants for parent d825e069-7834-43b3-aa38-838becf0f8ef with total stock 2
[StockUpdate] Found 1 variants for parent 3bff619e-e182-40fa-ad8c-8381e440c271 with total stock 1
[StockUpdate] Found 2 variants for parent 74db686e-efb0-49d6-ab4f-727cfee4a072 with total stock 2
[StockUpdate] Found 1 variants for parent 808155ca-7bbc-4269-bc23-acdca8886123 with total stock 1
[StockUpdate] Found 1 variants for parent d2fbd552-fe9c-41ce-84cd-9b8fd094dd63 with total stock 3
[StockUpdate] Found 1 variants for parent 82067563-49c0-4af1-ad21-db0170200231 with total stock 1
[StockUpdate] Found 1 variants for parent 08736dd8-c225-4107-97c9-aa2d77285004 with total stock 1
[StockUpdate] Found 1 variants for parent cd74804f-7de3-496f-96df-c62981b7e71a with total stock 3
[StockUpdate] Found 1 variants for parent 8a997b41-6d4f-4b03-b38b-8cd455acde86 with total stock 1
[StockUpdate] Found 1 variants for parent f0bf1f23-4911-4300-be05-dd22092d92e4 with total stock 1
[StockUpdate] Found 1 variants for parent 7754c01d-06e5-4819-bb65-aaea6fe41ee7 with total stock 1
[StockUpdate] Found 1 variants for parent 3f18bc3e-3e5b-4143-b888-f312cdc0cca5 with total stock 1
[StockUpdate] Found 1 variants for parent e39b6192-1485-4be0-83bc-81851e7722ad with total stock 1
[StockUpdate] Found 1 variants for parent 4990955e-f181-42df-b597-2ad468becc2f with total stock 1
[StockUpdate] Found 1 variants for parent fb7613aa-8e1a-476c-ba40-c487396c1d6f with total stock 2
[StockUpdate] Found 1 variants for parent b1bba306-330e-4176-a304-34874a6e36e6 with total stock 1
[StockUpdate] Found 1 variants for parent a5382236-677e-45ce-8f82-e7ed22480d42 with total stock 2
[StockUpdate] Found 1 variants for parent 462af78d-3de5-4ec5-9f54-b0f334d4e4b7 with total stock 2
[StockUpdate] Found 1 variants for parent 7dfcba10-c489-411d-af3a-b2c298e1d7be with total stock 11
[StockUpdate] Found 1 variants for parent 7c4d1d03-7318-4541-975b-063be7827dbf with total stock 11
[StockUpdate] Found 2 variants for parent 1d255a4b-5800-4f4e-a6ed-2b448e14bede with total stock 3
[StockUpdate] Found 1 variants for parent 762a685d-809e-4b21-8230-f03c82d1f3a1 with total stock 1
[StockUpdate] Found 1 variants for parent 7aed7959-a315-497d-8de7-c90bb3cc790b with total stock 1
[StockUpdate] Found 1 variants for parent 64c41ef3-81e5-490f-a6f2-a8fe511baa21 with total stock 21
[StockUpdate] Found 2 variants for parent 7838e630-cab9-4626-b824-5896ce152779 with total stock 5
[StockUpdate] Found 1 variants for parent 9419e520-cdc4-4eab-85de-704f89ebcbd5 with total stock 2
[StockUpdate] Found 1 variants for parent 7b55584e-d16b-4a09-949c-519457770bfc with total stock 1
[StockUpdate] Found 1 variants for parent 7f40d667-e119-4f8c-97a1-7f64ae4e9893 with total stock 2
[StockUpdate] Found 1 variants for parent 972f16b3-372e-4155-9889-3457885982ba with total stock 1
[StockUpdate] Found 2 variants for parent 6220d1b6-ea80-4bc1-bd37-68b8f234ca7c with total stock 4
[StockUpdate] Found 1 variants for parent 264b8863-00e1-4dfe-9ac6-7a2d4363ad11 with total stock 1
[StockUpdate] Found 1 variants for parent c8a9a5e9-dcf5-4e7d-a013-c4dba577e1ef with total stock 4
[StockUpdate] Found 1 variants for parent c0881cf3-8370-460e-85c1-e943712c780d with total stock 2
[StockUpdate] Found 2 variants for parent 53251e8f-64b1-4224-becf-7c193378057c with total stock 2
[StockUpdate] Found 1 variants for parent 9c85827c-9ffb-4421-af10-9d8a2001504f with total stock 1
[StockUpdate] Found 1 variants for parent 9d9cb0e8-8b2d-414f-947d-f3d31a396f7e with total stock 1
